depth,pdd
0,0.886478445
0.1,0.887711935
0.2,0.893728602
0.3,0.905917753
0.4,0.915094868
0.5,0.92202311
0.6,0.92781605
0.7,0.934338693
0.8,0.938738592
0.9,0.943777519
1,0.949868076
1.1,0.953860424
1.2,0.958847841
1.3,0.963001522
1.4,0.966788466
1.5,0.969132476
1.6,0.975503052
1.7,0.979284959
1.8,0.982825211
1.9,0.983776736
2,0.988067891
2.1,0.991954832
2.2,0.992473998
2.3,0.994566504
2.4,0.997432707
2.5,0.996781458
2.6,1
2.7,0.996641279
2.8,0.995501352
2.9,0.993007174
3,0.986441843
3.1,0.980130746
3.2,0.971408572
3.3,0.9609608
3.4,0.94863029
3.5,0.933347533
3.6,0.914776923
3.7,0.894026805
3.8,0.8738535
3.9,0.849346354
4,0.816955936
4.1,0.787532492
4.2,0.752040387
4.3,0.720155282
4.4,0.678397377
4.5,0.635604042
4.6,0.597651167
4.7,0.548730507
4.8,0.509889814
4.9,0.457076933
5,0.415707604
5.1,0.370414306
5.2,0.335669889
5.3,0.281004453
5.4,0.249503601
5.5,0.207438181
5.6,0.176889313
5.7,0.144456017
5.8,0.118315468
5.9,0.091261541
6,0.072673483
6.1,0.05479762
6.2,0.038551674
6.3,0.02910401
6.4,0.019198556
6.5,0.014888692
6.6,0.009645318
6.7,0.006492412
6.8,0.004548695
6.9,0.003598986
7,0.002885287
7.1,0.002471003
7.2,0.002314097
7.3,0.002031192
7.4,0.001846183
7.5,0.00205931
7.6,0.001814754
7.7,0.001786478
7.8,0.001862947
7.9,0.001647414
8,0.001506659
8.1,0.001381084
8.2,0.00154111
8.3,0.001434104
8.4,0.001120592
8.5,0.001425819
8.6,0.001406823
8.7,0.001273041
8.8,0.00120806
8.9,0.001089748
9,0.000937784
9.1,0.001158167
9.2,0.001115751
9.3,0.001066672
9.4,0.000855606
9.5,0.000893634
9.6,0.000907911
9.7,0.00083833
9.8,0.000871128
9.9,0.000792272
10,0.000589742
10.1,0.000723673
10.2,0.000666284
10.3,0.000573587
10.4,0.000786119
10.5,0.000559706
10.6,0.000700893
10.7,0.000634959
10.8,0.000422682
10.9,0.000608558
11,0.000584588
11.1,0.000516579
11.2,0.000697547
11.3,0.000580845
11.4,0.000708789
11.5,0.000746064
11.6,0.000759048
11.7,0.000449396
11.8,0.000706486
11.9,0.00056474
12,0.000674537